fecha;duplicacion
2021-07-01;2.36%
2021-07-08;2.18%
2021-07-15;1.67%
2021-07-22;2.46%
2021-07-29;2.44%
2021-08-05;2.72%
2021-08-12;2.63%
2021-08-19;2.71%
2021-08-26;2.65%
2021-09-02;2.71%
